musym,muname,field_3,field_4,field_5,field_6,wDepAnMin,wDepAJMin,field_9,field_10,field_11,aws25,aws50,field_14,field_15,drdc,drw,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,mukey
91A,"Swygert silty clay loam, 0 to 2 percent slopes",,0.9,0.9,,46,46,None,None,2,4.47,7.76,13.1,16.72,Somewhat poorly drained,Somewhat poorly drained,C/D,,100,2,98,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.447,Slight,2,1,243028
830,Landfills,,4,3.9,,,,None,None,0,3.13,5.63,10.63,15.63,Moderately well drained,Moderately well drained,,,100,,90,Not rated,Not rated,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,0.516,Not rated,0,1,243027
618E2,"Senachwine silt loam, 18 to 25 percent slopes, eroded",,22,21.6,,,,None,None,2,5.12,9.36,16.44,21.49,Well drained,Well drained,C,,97,6,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,2,1,243026
680B,"Campton silt loam, 2 to 5 percent slopes",,4,3.7,,84,84,None,None,8,5.31,10,19.38,26.98,Moderately well drained,Moderately well drained,C,,100,2,100,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.155,Moderate,8,0.703,243025
679B,"Blackberry silt loam, 2 to 5 percent slopes",,3.5,3.4,,84,84,None,None,2,5.72,11.09,20.55,29.37,Moderately well drained,Moderately well drained,C,,92,2,92,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Fair,Somewhat limited,0.075,Moderate,2,0.684,243024
232A,"Ashkum silty clay loam, 0 to 2 percent slopes",,0.5,0.5,,15,15,None,None,97,4.24,7.86,14.31,20.2,Poorly drained,Poorly drained,C/D,,100,2,92,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,97,1,243023
223B2,"Varna silt loam, 2 to 4 percent slopes, eroded",,3,2.9,,84,84,None,None,5,4.98,9.18,17.08,21.25,Moderately well drained,Moderately well drained,D,,99,2,99,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.095,Moderate,5,1,243022
530C2,"Ozaukee silt loam, 4 to 6 percent slopes, eroded",,5,4.9,,66,66,None,None,0,4.31,7.29,11.92,15.91,Moderately well drained,Moderately well drained,C,,100,3,96,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.066,Moderate,0,1,243021
387C3,"Ockley clay loam, 5 to 10 percent slopes, severely eroded",,8,7.8,,,,None,None,3,4.87,8.23,12.82,14.73,Well drained,Well drained,B,,100,4,97,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.091,Moderate,3,1,243020
387B,"Ockley silt loam, 2 to 5 percent slopes",,3.5,3.5,,,,None,None,0,5.5,10.25,18.65,20.99,Well drained,Well drained,B,,96,2,96,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.08,Moderate,0,1,243019
